0|0|A|E|T|P|0|
265140|0|A|E|T|P|1|
530272|0|A|E|T|P|2|
795401|0|A|E|T|P|3|
1060547|0|-|-|-|-|4|
1325679|0|-|-|-|-|5|
1590811|0|-|-|-|-|6|
1855943|0|-|-|-|-|7|
2121075|0|-|-|-|-|8|
2386207|0|-|-|-|-|9|
2651339|0|-|-|-|-|10|
2916471|0|-|-|-|-|11|
3181603|0|-|-|-|-|12|
3446735|0|-|-|-|-|13|
3711867|0|-|-|-|-|14|
3976999|0|-|-|-|-|15|
4242131|0|-|-|-|-|16|
4507263|0|-|-|-|-|17|
4772395|0|-|-|-|-|18|
5037527|0|-|-|-|-|19|
5302659|0|-|-|-|-|20|
5567791|0|-|-|-|-|21|
5832923|0|-|-|-|-|22|
6098055|0|-|-|-|-|23|
6363187|0|-|-|-|-|24|
6628319|0|-|-|-|-|25|
6893451|0|-|-|-|-|0|
